https://alma.amstardmc.com:21
Not shown: 607 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT      STATE SERVICE
21/tcp    open  ftp
37/tcp    open  time
43/tcp    open  whois
53/tcp    open  domain
80/tcp    open  http
81/tcp    open  hosts2-ns
82/tcp    open  xfer
83/tcp    open  mit-ml-dev
84/tcp    open  ctf
85/tcp    open  mit-ml-dev
88/tcp    open  kerberos-sec
89/tcp    open  su-mit-tg
90/tcp    open  dnsix
99/tcp    open  metagram
100/tcp   open  newacct
119/tcp   open  nntp
135/tcp   open  msrpc
139/tcp   open  netbios-ssn
211/tcp   open  914c-g
212/tcp   open  anet
389/tcp   open  ldap
443/tcp   open  https
444/tcp   open  snpp
465/tcp   open  smtps
500/tcp   open  isakmp
543/tcp   open  klogin
554/tcp   open  rtsp
555/tcp   open  dsf
587/tcp   open  submission
631/tcp   open  ipp
636/tcp   open  ldapssl
777/tcp   open  multiling-http
783/tcp   open  spamassassin
800/tcp   open  mdbs_daemon
801/tcp   open  device
808/tcp   open  ccproxy-http
843/tcp   open  unknown
880/tcp   open  unknown
888/tcp   open  accessbuilder
900/tcp   open  omginitialrefs
990/tcp   open  ftps
993/tcp   open  imaps
995/tcp   open  pop3s
999/tcp   open  garcon
1000/tcp  open  cadlock
1002/tcp  open  windows-icfw
1010/tcp  open  surf
1011/tcp  open  unknown
1024/tcp  open  kdm
1025/tcp  open  NFS-or-IIS
1028/tcp  open  unknown
1029/tcp  open  ms-lsa
1033/tcp  open  netinfo
1054/tcp  open  brvread
1056/tcp  open  vfo
1065/tcp  open  syscomlan
1066/tcp  open  fpo-fns
1067/tcp  open  instl_boots
1068/tcp  open  instl_bootc
1080/tcp  open  socks
1081/tcp  open  pvuniwien
1083/tcp  open  ansoft-lm-1
1111/tcp  open  lmsocialserver
1121/tcp  open  rmpp
1174/tcp  open  fnet-remote-ui
1175/tcp  open  dossier
1183/tcp  open  llsurfup-http
1185/tcp  open  catchpole
1186/tcp  open  mysql-cluster
1187/tcp  open  alias
1192/tcp  open  caids-sensor
1198/tcp  open  cajo-discovery
1199/tcp  open  dmidi
1201/tcp  open  nucleus-sand
1234/tcp  open  hotline
1352/tcp  open  lotusnotes
1433/tcp  open  ms-sql-s
1434/tcp  open  ms-sql-m
1443/tcp  open  ies-lm
1455/tcp  open  esl-lm
1494/tcp  open  citrix-ica
1500/tcp  open  vlsi-lm
1521/tcp  open  oracle
1700/tcp  open  mps-raft
1717/tcp  open  fj-hdnet
1720/tcp  open  h323q931
1805/tcp  open  enl-name
1935/tcp  open  rtmp
1971/tcp  open  netop-school
1972/tcp  open  intersys-cache
1974/tcp  open  drp
1984/tcp  open  bigbrother
2000/tcp  open  cisco-sccp
2001/tcp  open  dc
2006/tcp  open  invokator
2010/tcp  open  search
2020/tcp  open  xinupageserver
2022/tcp  open  down
2048/tcp  open  dls-monitor
2049/tcp  open  nfs
2065/tcp  open  dlsrpn
2068/tcp  open  avocentkvm
2099/tcp  open  h2250-annex-g
2100/tcp  open  amiganetfs
2103/tcp  open  zephyr-clt
2105/tcp  open  eklogin
2106/tcp  open  ekshell
2107/tcp  open  msmq-mgmt
2111/tcp  open  kx
2119/tcp  open  gsigatekeeper
2121/tcp  open  ccproxy-ftp
2126/tcp  open  pktcable-cops
2135/tcp  open  gris
2144/tcp  open  lv-ffx
2160/tcp  open  apc-2160
2161/tcp  open  apc-agent
2170/tcp  open  eyetv
2179/tcp  open  vmrdp
2190/tcp  open  tivoconnect
2196/tcp  open  unknown
2200/tcp  open  ici
2222/tcp  open  EtherNetIP-1
2260/tcp  open  apc-2260
2288/tcp  open  netml
2301/tcp  open  compaqdiag
2323/tcp  open  3d-nfsd
2381/tcp  open  compaq-https
2382/tcp  open  ms-olap3
2522/tcp  open  windb
2525/tcp  open  ms-v-worlds
2557/tcp  open  nicetec-mgmt
2602/tcp  open  ripd
2604/tcp  open  ospfd
2607/tcp  open  connection
2638/tcp  open  sybase
2701/tcp  open  sms-rcinfo
2809/tcp  open  corbaloc
2811/tcp  open  gsiftp
2910/tcp  open  tdaccess
2967/tcp  open  symantec-av
2968/tcp  open  enpp
2998/tcp  open  iss-realsec
3000/tcp  open  ppp
3001/tcp  open  nessus
3003/tcp  open  cgms
3005/tcp  open  deslogin
3006/tcp  open  deslogind
3007/tcp  open  lotusmtap
3011/tcp  open  trusted-web
3013/tcp  open  gilatskysurfer
3017/tcp  open  event_listener
3030/tcp  open  arepa-cas
3031/tcp  open  eppc
3052/tcp  open  powerchute
3071/tcp  open  csd-mgmt-port
3077/tcp  open  orbix-loc-ssl
3268/tcp  open  globalcatLDAP
3269/tcp  open  globalcatLDAPssl
3306/tcp  open  mysql
3333/tcp  open  dec-notes
3389/tcp  open  ms-wbt-server
3404/tcp  open  unknown
3551/tcp  open  apcupsd
3580/tcp  open  nati-svrloc
3690/tcp  open  svn
4000/tcp  open  remoteanything
